Date,Job Openings: Leisure and Hospitality
2016-03-01,827.0
2016-04-01,763.0
2016-05-01,743.0
2016-06-01,794.0
2016-07-01,757.0
2016-08-01,803.0
2016-09-01,739.0
2016-10-01,760.0
2016-11-01,765.0
2016-12-01,748.0
2017-01-01,724.0
2017-02-01,898.0
2017-03-01,749.0
2017-04-01,843.0
2017-05-01,843.0
2017-06-01,854.0
2017-07-01,861.0
2017-08-01,909.0
2017-09-01,790.0
2017-10-01,796.0
2017-11-01,877.0
2017-12-01,884.0
2018-01-01,931.0
2018-02-01,901.0
2018-03-01,928.0
2018-04-01,968.0
2018-05-01,975.0
2018-06-01,1061.0
2018-07-01,1019.0
2018-08-01,1007.0
2018-09-01,1073.0
2018-10-01,1015.0
2018-11-01,1023.0
2018-12-01,1075.0
2019-01-01,1121.0
2019-02-01,998.0
2019-03-01,1005.0
2019-04-01,1024.0
2019-05-01,1018.0
2019-06-01,945.0
2019-07-01,959.0
2019-08-01,961.0
2019-09-01,1025.0
2019-10-01,993.0
2019-11-01,973.0
2019-12-01,926.0
2020-01-01,913.0
2020-02-01,940.0
2020-03-01,653.0
2020-04-01,321.0
2020-05-01,710.0
2020-06-01,876.0
2020-07-01,781.0
2020-08-01,763.0
2020-09-01,801.0
2020-10-01,821.0
2020-11-01,845.0
2020-12-01,799.0
2021-01-01,735.0
2021-02-01,949.0
2021-03-01,1097.0
2021-04-01,1306.0
2021-05-01,1421.0
2021-06-01,1585.0
2021-07-01,1790.0
2021-08-01,1731.0
2021-09-01,1591.0
2021-10-01,1633.0
2021-11-01,1595.0
2021-12-01,1661.0
2022-01-01,1589.0
2022-02-01,1695.0
2022-03-01,1650.0
2022-04-01,1617.0
2022-05-01,1602.0
2022-06-01,1586.0
2022-07-01,1615.0
2022-08-01,1477.0
2022-09-01,1524.0
2022-10-01,1578.0
2022-11-01,1536.0
2022-12-01,1662.0
2023-01-01,1510.0
2023-02-01,1420.0
2023-03-01,1445.0
2023-04-01,1383.0
2023-05-01,1308.0
2023-06-01,1218.0
2023-07-01,1187.0
2023-08-01,1199.0
2023-09-01,1374.0
2023-10-01,1197.0
2023-11-01,1183.0
2023-12-01,918.0
2024-01-01,1085.0
2024-02-01,1087.0
2024-03-01,1177.0
2024-04-01,1042.0
2024-05-01,871.0
2024-06-01,906.0
2024-07-01,947.0
2024-08-01,971.0
2024-09-01,965.0
2024-10-01,1166.0
2024-11-01,1021.0
2024-12-01,1147.0
2025-01-01,1057.0
2025-02-01,1030.0
2025-03-01,960.0
2025-04-01,914.0
2025-05-01,1199.0
2025-06-01,1034.0
2025-07-01,987.0
