Date,Job Openings: Private Education and Health Services
2014-12-01,941.0
2015-01-01,918.0
2015-02-01,927.0
2015-03-01,907.0
2015-04-01,1004.0
2015-05-01,986.0
2015-06-01,1005.0
2015-07-01,1171.0
2015-08-01,1040.0
2015-09-01,1077.0
2015-10-01,1076.0
2015-11-01,1101.0
2015-12-01,1065.0
2016-01-01,1179.0
2016-02-01,1020.0
2016-03-01,1079.0
2016-04-01,1105.0
2016-05-01,1098.0
2016-06-01,1070.0
2016-07-01,1118.0
2016-08-01,1054.0
2016-09-01,1110.0
2016-10-01,1238.0
2016-11-01,1197.0
2016-12-01,1200.0
2017-01-01,1152.0
2017-02-01,1238.0
2017-03-01,1122.0
2017-04-01,1108.0
2017-05-01,1101.0
2017-06-01,1169.0
2017-07-01,1156.0
2017-08-01,1167.0
2017-09-01,1146.0
2017-10-01,1136.0
2017-11-01,1118.0
2017-12-01,1163.0
2018-01-01,1154.0
2018-02-01,1187.0
2018-03-01,1231.0
2018-04-01,1215.0
2018-05-01,1204.0
2018-06-01,1257.0
2018-07-01,1232.0
2018-08-01,1249.0
2018-09-01,1281.0
2018-10-01,1242.0
2018-11-01,1258.0
2018-12-01,1321.0
2019-01-01,1360.0
2019-02-01,1215.0
2019-03-01,1350.0
2019-04-01,1399.0
2019-05-01,1363.0
2019-06-01,1303.0
2019-07-01,1294.0
2019-08-01,1327.0
2019-09-01,1236.0
2019-10-01,1301.0
2019-11-01,1292.0
2019-12-01,1241.0
2020-01-01,1320.0
2020-02-01,1282.0
2020-03-01,1157.0
2020-04-01,952.0
2020-05-01,1007.0
2020-06-01,1127.0
2020-07-01,1178.0
2020-08-01,1237.0
2020-09-01,1220.0
2020-10-01,1314.0
2020-11-01,1315.0
2020-12-01,1241.0
2021-01-01,1368.0
2021-02-01,1588.0
2021-03-01,1470.0
2021-04-01,1579.0
2021-05-01,1757.0
2021-06-01,1787.0
2021-07-01,1871.0
2021-08-01,1814.0
2021-09-01,1907.0
2021-10-01,2097.0
2021-11-01,2103.0
2021-12-01,2139.0
2022-01-01,2096.0
2022-02-01,2188.0
2022-03-01,2286.0
2022-04-01,2213.0
2022-05-01,2199.0
2022-06-01,2161.0
2022-07-01,2279.0
2022-08-01,2133.0
2022-09-01,2215.0
2022-10-01,2139.0
2022-11-01,2063.0
2022-12-01,2069.0
2023-01-01,2010.0
2023-02-01,1843.0
2023-03-01,1913.0
2023-04-01,1935.0
2023-05-01,1879.0
2023-06-01,1924.0
2023-07-01,1938.0
2023-08-01,2096.0
2023-09-01,1956.0
2023-10-01,1807.0
2023-11-01,1881.0
2023-12-01,1992.0
2024-01-01,2045.0
2024-02-01,1918.0
2024-03-01,1870.0
2024-04-01,1769.0
2024-05-01,1859.0
2024-06-01,1784.0
2024-07-01,1694.0
2024-08-01,1646.0
2024-09-01,1473.0
2024-10-01,1606.0
2024-11-01,1690.0
2024-12-01,1585.0
2025-01-01,1650.0
2025-02-01,1570.0
2025-03-01,1512.0
2025-04-01,1716.0
2025-05-01,1771.0
2025-06-01,1570.0
2025-07-01,1389.0
