Date,Job Openings: State and Local
2015-08-01,403.0
2015-09-01,398.0
2015-10-01,431.0
2015-11-01,426.0
2015-12-01,442.0
2016-01-01,422.0
2016-02-01,390.0
2016-03-01,404.0
2016-04-01,405.0
2016-05-01,439.0
2016-06-01,394.0
2016-07-01,492.0
2016-08-01,411.0
2016-09-01,418.0
2016-10-01,394.0
2016-11-01,484.0
2016-12-01,405.0
2017-01-01,417.0
2017-02-01,426.0
2017-03-01,423.0
2017-04-01,461.0
2017-05-01,438.0
2017-06-01,472.0
2017-07-01,444.0
2017-08-01,420.0
2017-09-01,474.0
2017-10-01,465.0
2017-11-01,457.0
2017-12-01,482.0
2018-01-01,478.0
2018-02-01,524.0
2018-03-01,523.0
2018-04-01,511.0
2018-05-01,495.0
2018-06-01,534.0
2018-07-01,528.0
2018-08-01,602.0
2018-09-01,526.0
2018-10-01,512.0
2018-11-01,557.0
2018-12-01,563.0
2019-01-01,563.0
2019-02-01,559.0
2019-03-01,593.0
2019-04-01,572.0
2019-05-01,562.0
2019-06-01,635.0
2019-07-01,533.0
2019-08-01,634.0
2019-09-01,626.0
2019-10-01,657.0
2019-11-01,648.0
2019-12-01,655.0
2020-01-01,672.0
2020-02-01,658.0
2020-03-01,589.0
2020-04-01,543.0
2020-05-01,544.0
2020-06-01,545.0
2020-07-01,529.0
2020-08-01,593.0
2020-09-01,606.0
2020-10-01,631.0
2020-11-01,576.0
2020-12-01,563.0
2021-01-01,660.0
2021-02-01,597.0
2021-03-01,725.0
2021-04-01,806.0
2021-05-01,768.0
2021-06-01,794.0
2021-07-01,827.0
2021-08-01,730.0
2021-09-01,821.0
2021-10-01,854.0
2021-11-01,819.0
2021-12-01,946.0
2022-01-01,896.0
2022-02-01,902.0
2022-03-01,901.0
2022-04-01,945.0
2022-05-01,938.0
2022-06-01,872.0
2022-07-01,1061.0
2022-08-01,824.0
2022-09-01,878.0
2022-10-01,874.0
2022-11-01,897.0
2022-12-01,887.0
2023-01-01,902.0
2023-02-01,874.0
2023-03-01,903.0
2023-04-01,902.0
2023-05-01,897.0
2023-06-01,960.0
2023-07-01,853.0
2023-08-01,865.0
2023-09-01,838.0
2023-10-01,794.0
2023-11-01,854.0
2023-12-01,825.0
2024-01-01,751.0
2024-02-01,777.0
2024-03-01,830.0
2024-04-01,719.0
2024-05-01,879.0
2024-06-01,849.0
2024-07-01,776.0
2024-08-01,863.0
2024-09-01,722.0
2024-10-01,758.0
2024-11-01,749.0
2024-12-01,736.0
2025-01-01,770.0
2025-02-01,759.0
2025-03-01,737.0
2025-04-01,705.0
2025-05-01,742.0
2025-06-01,704.0
2025-07-01,648.0
