Date,Job Openings: Health Care and Social Assistance
2012-09-01,650.0
2012-10-01,642.0
2012-11-01,667.0
2012-12-01,647.0
2013-01-01,560.0
2013-02-01,631.0
2013-03-01,637.0
2013-04-01,646.0
2013-05-01,617.0
2013-06-01,615.0
2013-07-01,571.0
2013-08-01,680.0
2013-09-01,610.0
2013-10-01,606.0
2013-11-01,579.0
2013-12-01,537.0
2014-01-01,630.0
2014-02-01,660.0
2014-03-01,678.0
2014-04-01,642.0
2014-05-01,734.0
2014-06-01,739.0
2014-07-01,784.0
2014-08-01,840.0
2014-09-01,779.0
2014-10-01,801.0
2014-11-01,711.0
2014-12-01,846.0
2015-01-01,815.0
2015-02-01,823.0
2015-03-01,815.0
2015-04-01,905.0
2015-05-01,890.0
2015-06-01,903.0
2015-07-01,1047.0
2015-08-01,942.0
2015-09-01,982.0
2015-10-01,950.0
2015-11-01,994.0
2015-12-01,939.0
2016-01-01,1095.0
2016-02-01,891.0
2016-03-01,973.0
2016-04-01,983.0
2016-05-01,991.0
2016-06-01,971.0
2016-07-01,1018.0
2016-08-01,966.0
2016-09-01,997.0
2016-10-01,1105.0
2016-11-01,1099.0
2016-12-01,1097.0
2017-01-01,1079.0
2017-02-01,1119.0
2017-03-01,1014.0
2017-04-01,1016.0
2017-05-01,997.0
2017-06-01,1083.0
2017-07-01,1036.0
2017-08-01,1067.0
2017-09-01,1044.0
2017-10-01,1038.0
2017-11-01,1010.0
2017-12-01,1066.0
2018-01-01,1046.0
2018-02-01,1094.0
2018-03-01,1120.0
2018-04-01,1117.0
2018-05-01,1099.0
2018-06-01,1119.0
2018-07-01,1119.0
2018-08-01,1123.0
2018-09-01,1198.0
2018-10-01,1147.0
2018-11-01,1167.0
2018-12-01,1221.0
2019-01-01,1241.0
2019-02-01,1108.0
2019-03-01,1240.0
2019-04-01,1272.0
2019-05-01,1237.0
2019-06-01,1177.0
2019-07-01,1178.0
2019-08-01,1207.0
2019-09-01,1112.0
2019-10-01,1174.0
2019-11-01,1160.0
2019-12-01,1134.0
2020-01-01,1202.0
2020-02-01,1157.0
2020-03-01,1050.0
2020-04-01,855.0
2020-05-01,925.0
2020-06-01,1039.0
2020-07-01,1090.0
2020-08-01,1129.0
2020-09-01,1110.0
2020-10-01,1194.0
2020-11-01,1210.0
2020-12-01,1155.0
2021-01-01,1211.0
2021-02-01,1479.0
2021-03-01,1342.0
2021-04-01,1434.0
2021-05-01,1585.0
2021-06-01,1592.0
2021-07-01,1695.0
2021-08-01,1639.0
2021-09-01,1776.0
2021-10-01,1877.0
2021-11-01,1900.0
2021-12-01,1932.0
2022-01-01,1935.0
2022-02-01,1997.0
2022-03-01,2115.0
2022-04-01,2036.0
2022-05-01,2041.0
2022-06-01,2002.0
2022-07-01,2075.0
2022-08-01,1973.0
2022-09-01,2058.0
2022-10-01,1986.0
2022-11-01,1905.0
2022-12-01,1921.0
2023-01-01,1827.0
2023-02-01,1659.0
2023-03-01,1720.0
2023-04-01,1787.0
2023-05-01,1667.0
2023-06-01,1755.0
2023-07-01,1770.0
2023-08-01,1923.0
2023-09-01,1786.0
2023-10-01,1635.0
2023-11-01,1719.0
2023-12-01,1808.0
2024-01-01,1890.0
2024-02-01,1765.0
2024-03-01,1693.0
2024-04-01,1541.0
2024-05-01,1674.0
2024-06-01,1609.0
2024-07-01,1519.0
2024-08-01,1499.0
2024-09-01,1304.0
2024-10-01,1459.0
2024-11-01,1520.0
2024-12-01,1421.0
2025-01-01,1498.0
2025-02-01,1405.0
2025-03-01,1368.0
2025-04-01,1547.0
2025-05-01,1615.0
2025-06-01,1435.0
2025-07-01,1254.0
