Date,Job Openings: Total Private
2010-01-01,2432.0
2010-02-01,2324.0
2010-03-01,2271.0
2010-04-01,2530.0
2010-05-01,2603.0
2010-06-01,2500.0
2010-07-01,2758.0
2010-08-01,2653.0
2010-09-01,2582.0
2010-10-01,2890.0
2010-11-01,2874.0
2010-12-01,2659.0
2011-01-01,2766.0
2011-02-01,2910.0
2011-03-01,2939.0
2011-04-01,2917.0
2011-05-01,2880.0
2011-06-01,3095.0
2011-07-01,3291.0
2011-08-01,3000.0
2011-09-01,3377.0
2011-10-01,3252.0
2011-11-01,3208.0
2011-12-01,3404.0
2012-01-01,3561.0
2012-02-01,3221.0
2012-03-01,3582.0
2012-04-01,3426.0
2012-05-01,3438.0
2012-06-01,3524.0
2012-07-01,3356.0
2012-08-01,3389.0
2012-09-01,3500.0
2012-10-01,3394.0
2012-11-01,3513.0
2012-12-01,3563.0
2013-01-01,3467.0
2013-02-01,3584.0
2013-03-01,3681.0
2013-04-01,3566.0
2013-05-01,3736.0
2013-06-01,3749.0
2013-07-01,3509.0
2013-08-01,3692.0
2013-09-01,3732.0
2013-10-01,3827.0
2013-11-01,3714.0
2013-12-01,3775.0
2014-01-01,3738.0
2014-02-01,3971.0
2014-03-01,3962.0
2014-04-01,4131.0
2014-05-01,4307.0
2014-06-01,4468.0
2014-07-01,4371.0
2014-08-01,4911.0
2014-09-01,4446.0
2014-10-01,4577.0
2014-11-01,4372.0
2014-12-01,4626.0
2015-01-01,4818.0
2015-02-01,4950.0
2015-03-01,4709.0
2015-04-01,5077.0
2015-05-01,5040.0
2015-06-01,4778.0
2015-07-01,5507.0
2015-08-01,4973.0
2015-09-01,5018.0
2015-10-01,5246.0
2015-11-01,5185.0
2015-12-01,5304.0
2016-01-01,5497.0
2016-02-01,5282.0
2016-03-01,5633.0
2016-04-01,5301.0
2016-05-01,5239.0
2016-06-01,5262.0
2016-07-01,5375.0
2016-08-01,5166.0
2016-09-01,5340.0
2016-10-01,5107.0
2016-11-01,5394.0
2016-12-01,5404.0
2017-01-01,5120.0
2017-02-01,5418.0
2017-03-01,5305.0
2017-04-01,5547.0
2017-05-01,5275.0
2017-06-01,5731.0
2017-07-01,5690.0
2017-08-01,5774.0
2017-09-01,5757.0
2017-10-01,5855.0
2017-11-01,5736.0
2017-12-01,5758.0
2018-01-01,6029.0
2018-02-01,5956.0
2018-03-01,6191.0
2018-04-01,6284.0
2018-05-01,6420.0
2018-06-01,6584.0
2018-07-01,6544.0
2018-08-01,6483.0
2018-09-01,6794.0
2018-10-01,6688.0
2018-11-01,6919.0
2018-12-01,6809.0
2019-01-01,6808.0
2019-02-01,6380.0
2019-03-01,6601.0
2019-04-01,6537.0
2019-05-01,6600.0
2019-06-01,6449.0
2019-07-01,6392.0
2019-08-01,6431.0
2019-09-01,6384.0
2019-10-01,6504.0
2019-11-01,6124.0
2019-12-01,5951.0
2020-01-01,6304.0
2020-02-01,6194.0
2020-03-01,5181.0
2020-04-01,3955.0
2020-05-01,4991.0
2020-06-01,5464.0
2020-07-01,5712.0
2020-08-01,5722.0
2020-09-01,5803.0
2020-10-01,6066.0
2020-11-01,6144.0
2020-12-01,6109.0
2021-01-01,6446.0
2021-02-01,7057.0
2021-03-01,7607.0
2021-04-01,8390.0
2021-05-01,9008.0
2021-06-01,9363.0
2021-07-01,10106.0
2021-08-01,10100.0
2021-09-01,9921.0
2021-10-01,10361.0
2021-11-01,10139.0
2021-12-01,10327.0
2022-01-01,10222.0
2022-02-01,10600.0
2022-03-01,11105.0
2022-04-01,10815.0
2022-05-01,10421.0
2022-06-01,10272.0
2022-07-01,10383.0
2022-08-01,9195.0
2022-09-01,9746.0
2022-10-01,9497.0
2022-11-01,9583.0
2022-12-01,9849.0
2023-01-01,9320.0
2023-02-01,8836.0
2023-03-01,8533.0
2023-04-01,8927.0
2023-05-01,8235.0
2023-06-01,8057.0
2023-07-01,7602.0
2023-08-01,8237.0
2023-09-01,8278.0
2023-10-01,7582.0
2023-11-01,7644.0
2023-12-01,7604.0
2024-01-01,7577.0
2024-02-01,7521.0
2024-03-01,7101.0
2024-04-01,6764.0
2024-05-01,6852.0
2024-06-01,6455.0
2024-07-01,6585.0
2024-08-01,6638.0
2024-09-01,6241.0
2024-10-01,6715.0
2024-11-01,7162.0
2024-12-01,6634.0
2025-01-01,6860.0
2025-02-01,6588.0
2025-03-01,6342.0
2025-04-01,6562.0
2025-05-01,6876.0
2025-06-01,6536.0
2025-07-01,6398.0
