Date,Job Openings: Professional and Business Services
2021-03-01,1563.0
2021-04-01,1727.0
2021-05-01,1888.0
2021-06-01,1932.0
2021-07-01,2076.0
2021-08-01,2057.0
2021-09-01,1954.0
2021-10-01,2115.0
2021-11-01,2045.0
2021-12-01,2092.0
2022-01-01,2096.0
2022-02-01,2348.0
2022-03-01,2454.0
2022-04-01,2318.0
2022-05-01,2226.0
2022-06-01,2282.0
2022-07-01,2101.0
2022-08-01,1785.0
2022-09-01,2134.0
2022-10-01,1797.0
2022-11-01,2151.0
2022-12-01,2136.0
2023-01-01,2028.0
2023-02-01,1824.0
2023-03-01,1794.0
2023-04-01,1806.0
2023-05-01,1613.0
2023-06-01,1527.0
2023-07-01,1243.0
2023-08-01,1565.0
2023-09-01,1511.0
2023-10-01,1501.0
2023-11-01,1379.0
2023-12-01,1405.0
2024-01-01,1443.0
2024-02-01,1399.0
2024-03-01,1272.0
2024-04-01,1289.0
2024-05-01,1302.0
2024-06-01,1131.0
2024-07-01,1367.0
2024-08-01,1332.0
2024-09-01,1308.0
2024-10-01,1358.0
2024-11-01,1733.0
2024-12-01,1364.0
2025-01-01,1211.0
2025-02-01,1336.0
2025-03-01,1249.0
2025-04-01,1386.0
2025-05-01,1302.0
2025-06-01,1365.0
2025-07-01,1309.0
