,"Job Openings: Total nonfarm - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1 to 9 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (10 to 49 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (50 to 249 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (250 to 999 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (1,000 to 4,999 employees)","Job Openings: Total private - Rate in Percent, Monthly, Seasonally Adjusted (5,000 or more employees)","Job Openings: Mining and logging - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Construction - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Durable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Nondurable goods manufacturing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Trade, transportation, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Wholesale trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Retail trade - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Transportation, warehousing, and utilities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Information - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Financial activities - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Finance and insurance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Real estate and rental and leasing - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Professional and business services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Private education and health services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Private educational services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Health care and social assistance - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Leisure and hospitality - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Arts, entertainment, and recreation - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Accommodation and food services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Other services - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Government - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: Federal - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: State and local - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: State and local government education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)","Job Openings: State and local government, excluding education - Rate in Percent, Monthly, Seasonally Adjusted (All size classes)"
10,2.7,2.9,3.7,2.6,2.7,2.8,3.3,3.0,1.8,2.0,1.6,1.5,1.8,2.5,2.0,2.7,2.3,2.0,2.6,2.7,2.4,3.4,4.5,2.1,5.0,3.0,3.1,3.0,3.5,2.1,2.1,2.1,1.4,2.9
11,2.8,2.9,3.5,2.7,2.6,3.0,3.6,3.1,1.2,2.4,1.4,1.2,1.8,2.4,1.8,2.7,2.2,2.5,2.6,2.7,2.2,3.6,4.4,2.0,4.8,3.6,3.5,3.7,3.0,2.2,1.9,2.3,1.4,3.2
12,2.7,2.9,2.9,2.7,2.8,2.9,3.5,3.1,2.8,1.8,1.4,1.5,1.4,2.3,1.5,2.7,2.0,2.8,2.5,2.7,2.0,3.5,4.4,1.9,4.9,3.5,3.5,3.5,3.2,2.1,1.7,2.1,1.5,2.8
13,2.7,2.9,3.6,2.7,2.6,3.0,3.3,2.9,2.4,1.9,1.7,1.6,1.7,2.4,2.0,2.6,2.0,2.6,3.7,3.8,3.5,3.6,4.5,2.3,4.9,2.9,2.4,3.0,3.0,1.9,1.7,1.9,1.4,2.4
14,2.6,2.6,1.9,2.5,2.6,2.9,3.4,3.0,2.7,1.6,1.7,1.5,1.8,2.1,1.9,2.3,1.7,2.8,2.0,2.2,1.4,2.5,4.5,2.3,4.9,3.3,3.2,3.4,2.7,2.3,1.8,2.3,1.2,3.6
15,2.7,2.8,2.6,2.6,2.7,3.0,3.6,3.1,0.7,2.0,1.5,1.4,1.8,2.4,2.6,2.4,2.1,2.6,2.8,3.1,1.6,3.3,4.2,1.7,4.7,3.3,4.3,3.1,2.9,2.0,1.9,2.1,1.3,2.9
16,2.6,2.7,2.2,2.4,2.6,3.1,3.8,3.1,1.4,1.8,1.6,1.5,1.7,2.2,2.0,2.1,2.4,2.7,2.8,3.0,2.3,3.3,4.1,2.0,4.5,3.1,3.1,3.0,2.6,2.0,1.8,2.1,1.1,3.1
17,2.6,2.7,2.7,2.3,2.6,2.9,3.4,3.1,1.1,2.0,1.5,1.5,1.5,2.0,1.7,2.1,2.2,3.1,2.6,2.7,2.1,3.4,3.8,1.6,4.3,3.2,3.3,3.2,2.9,2.1,1.9,2.1,1.4,2.9
18,2.5,2.7,2.4,2.2,2.7,3.0,3.6,3.2,1.4,2.0,1.6,1.6,1.6,2.2,2.0,2.4,1.8,2.0,3.0,3.0,3.0,3.1,4.4,3.7,4.6,2.8,2.4,2.9,2.0,1.8,1.1,2.0,1.3,2.7
19,2.5,2.6,1.5,2.4,2.7,3.0,3.6,3.1,1.1,1.5,1.6,1.7,1.5,2.2,1.7,2.5,1.6,2.7,2.2,2.5,1.5,3.3,4.0,2.0,4.4,3.1,2.5,3.2,2.0,2.0,1.7,2.0,1.4,2.8
20,2.6,2.7,2.2,2.4,2.8,3.0,3.5,3.3,1.5,1.7,1.5,1.5,1.4,2.2,1.9,2.4,1.8,2.4,2.5,2.7,1.8,3.7,4.1,2.0,4.5,3.2,2.8,3.3,2.5,2.0,1.8,2.0,1.4,2.8
21,2.5,2.6,2.0,2.2,2.8,2.9,3.2,3.0,1.1,2.1,1.6,1.5,1.6,2.0,1.8,2.2,1.4,2.0,2.1,2.3,1.4,3.5,4.1,1.9,4.6,2.8,1.9,3.0,2.6,1.8,1.7,1.8,1.2,2.5
22,2.6,2.8,2.1,2.4,3.0,3.0,3.4,2.8,1.5,1.8,1.4,1.5,1.3,2.2,1.9,2.3,1.9,2.1,3.3,3.5,2.8,3.9,3.8,1.6,4.2,3.1,2.7,3.1,2.7,1.8,1.1,1.8,1.1,2.7
23,2.6,2.8,2.4,2.4,2.8,2.8,3.7,2.9,1.1,1.6,1.5,1.4,1.6,1.9,1.8,2.0,2.0,2.6,2.8,3.2,1.5,3.6,4.4,1.7,4.9,3.2,3.4,3.2,2.9,1.9,1.8,2.0,1.4,2.6
24,2.4,2.5,2.0,2.2,2.6,2.8,3.3,2.6,0.6,1.6,1.5,1.5,1.6,1.8,1.6,1.9,1.9,1.8,2.7,2.9,1.9,3.4,3.7,1.9,4.0,3.0,2.3,3.1,2.4,1.7,1.5,1.7,1.1,2.5
25,2.6,2.7,2.1,2.5,2.8,3.0,3.1,2.6,0.8,1.6,1.3,1.3,1.5,2.1,1.7,2.4,1.9,2.4,2.6,2.6,2.3,4.1,3.7,1.9,4.0,3.1,1.8,3.4,2.4,2.0,2.0,2.0,1.3,2.7
26,2.4,2.5,2.5,2.2,2.6,2.7,3.0,2.6,1.0,1.4,1.3,1.3,1.3,2.1,1.7,2.2,2.1,2.2,2.4,2.2,2.8,3.7,3.4,1.5,3.8,2.9,1.9,3.1,3.1,1.8,1.6,1.8,1.4,2.2
27,2.3,2.5,2.1,2.2,2.6,2.6,3.0,2.7,0.7,1.3,1.4,1.5,1.3,2.0,1.7,2.1,1.9,2.5,2.5,2.4,2.7,3.5,3.4,1.6,3.7,2.8,1.7,3.0,2.3,1.7,1.8,1.6,1.1,2.3
28,2.3,2.5,2.6,2.1,2.6,2.5,2.9,2.8,0.9,2.0,1.3,1.2,1.4,2.0,1.5,2.3,1.5,1.7,2.5,2.5,2.5,3.2,3.5,1.7,3.9,3.0,2.2,3.1,2.9,1.5,1.0,1.6,1.3,2.0
29,2.5,2.6,2.7,2.3,2.8,2.6,3.0,2.6,1.8,1.5,1.3,1.2,1.5,2.1,1.7,2.3,1.8,1.8,2.5,2.8,1.7,3.9,3.7,1.8,4.1,3.4,3.5,3.4,2.2,1.5,1.6,1.5,1.2,1.9
30,2.5,2.7,2.6,2.3,2.8,2.9,2.9,2.8,1.4,1.6,1.3,1.2,1.5,2.2,1.5,2.3,2.8,2.2,2.5,2.5,2.6,4.0,3.5,2.0,3.7,3.4,3.5,3.4,2.5,1.8,2.0,1.8,1.4,2.2
31,2.2,2.4,2.2,2.0,2.6,2.5,2.7,2.6,1.8,2.0,1.3,1.2,1.4,1.9,1.5,2.0,1.9,1.9,2.9,2.7,3.4,3.2,3.1,1.9,3.3,2.7,2.6,2.7,1.9,1.6,2.2,1.5,1.0,2.0
32,2.4,2.6,2.0,2.4,2.7,2.7,3.1,2.7,1.1,1.6,1.5,1.5,1.5,2.2,2.0,2.4,1.9,2.0,2.8,3.0,2.1,3.7,3.2,1.5,3.5,3.1,3.0,3.1,2.1,1.4,2.0,1.4,0.7,2.1
33,2.3,2.5,1.7,2.3,2.7,2.7,3.0,2.8,1.3,1.2,1.3,1.4,1.3,2.1,1.6,2.3,1.9,2.9,2.6,2.7,2.0,3.5,3.2,1.4,3.5,3.1,2.5,3.3,1.9,1.5,1.7,1.5,0.8,2.2
34,2.5,2.6,2.2,2.3,2.7,2.9,3.0,2.9,1.2,1.5,1.5,1.5,1.5,2.0,1.7,2.2,1.7,2.8,2.7,2.8,2.3,3.5,3.5,1.8,3.8,3.6,3.4,3.6,1.9,1.7,1.9,1.7,1.4,2.1
35,2.5,2.7,2.7,2.4,2.8,2.8,2.9,2.9,1.1,1.7,1.7,1.7,1.5,2.1,2.0,2.3,2.0,2.0,2.9,2.9,2.8,3.7,3.3,1.7,3.6,3.4,2.7,3.6,2.5,1.4,1.7,1.4,0.8,2.0
36,2.5,2.8,2.9,2.5,2.8,2.8,3.0,2.4,1.5,1.9,1.7,1.6,1.8,2.4,2.1,2.6,2.1,2.6,2.4,2.7,1.6,3.8,3.2,1.6,3.5,3.5,3.1,3.6,2.6,1.5,1.9,1.4,0.9,2.0
37,2.6,2.8,2.2,2.6,2.8,3.0,3.2,2.6,1.5,2.4,1.6,1.6,1.7,2.1,2.1,2.3,1.7,2.4,3.3,3.6,2.3,3.3,3.5,1.6,3.8,3.5,4.0,3.5,2.9,1.5,2.0,1.4,0.9,2.0
38,2.6,2.8,2.4,2.8,2.8,3.1,3.1,2.5,1.0,1.8,1.6,1.6,1.7,2.3,1.7,2.7,1.6,2.7,3.2,3.5,2.3,3.7,3.5,1.8,3.8,3.6,4.0,3.6,3.1,1.6,1.9,1.6,0.9,2.2
39,2.6,2.8,3.0,2.6,2.8,2.8,3.1,2.5,1.5,2.1,1.7,1.7,1.7,2.4,1.9,2.6,2.5,2.5,2.7,3.0,1.6,3.4,3.6,2.0,3.9,3.4,2.9,3.5,3.2,1.7,1.9,1.6,1.0,2.3
40,2.6,2.8,2.8,2.6,2.8,2.9,3.0,2.6,1.7,2.1,1.8,1.8,1.9,2.3,2.1,2.6,1.6,2.6,3.1,3.5,1.7,3.7,3.5,1.7,3.9,3.2,2.0,3.4,2.4,1.6,2.0,1.6,1.0,2.2
41,2.7,2.9,2.9,2.7,2.9,3.2,3.2,2.9,1.5,2.1,2.0,1.9,2.0,2.5,2.3,2.8,1.7,3.1,3.0,3.4,1.8,4.0,3.5,1.8,3.8,3.3,2.9,3.4,3.0,1.7,1.1,1.7,1.1,2.4
42,2.5,2.7,2.2,2.4,2.8,3.0,3.1,2.7,1.7,1.6,1.8,1.9,1.7,2.4,2.4,2.6,1.7,2.7,2.7,2.9,2.0,3.4,3.0,1.5,3.3,3.6,3.0,3.7,1.7,1.5,1.8,1.5,1.1,2.0
43,2.8,3.1,3.5,2.8,3.1,3.0,3.3,3.0,1.5,1.7,1.9,1.9,1.9,2.7,2.8,2.8,2.2,3.0,3.4,3.9,1.8,4.0,3.4,2.0,3.7,4.0,2.7,4.2,3.0,1.5,1.5,1.5,1.0,2.1
44,2.6,2.8,3.2,2.5,2.9,2.8,3.1,3.1,1.4,2.1,1.8,1.8,1.9,2.3,2.2,2.6,1.6,2.7,3.2,3.4,2.5,3.7,3.4,2.0,3.6,3.6,2.8,3.7,2.4,1.5,1.3,1.5,1.0,2.1
45,2.8,3.0,3.6,2.7,3.0,3.2,3.2,2.8,1.5,1.6,1.8,1.8,1.7,2.9,2.7,3.4,1.5,2.8,3.7,4.1,2.6,4.0,3.4,1.8,3.7,4.0,3.6,4.1,2.3,1.6,1.8,1.5,1.1,2.0
46,2.9,3.1,3.4,2.9,3.2,3.0,3.3,3.2,1.5,2.0,1.9,2.0,1.8,2.5,2.1,3.0,1.6,3.1,3.3,3.6,2.3,4.5,3.7,2.9,3.9,3.7,2.8,3.9,2.7,1.7,1.7,1.8,1.3,2.3
47,2.6,2.7,2.7,2.5,2.8,2.7,3.1,3.0,1.7,2.0,1.7,1.7,1.6,2.0,2.3,2.1,1.6,2.0,2.9,3.2,2.3,3.9,3.5,2.0,3.8,3.3,4.2,3.1,2.7,1.6,1.9,1.6,1.1,2.2
48,3.0,3.2,4.0,2.6,3.3,3.2,3.5,3.2,1.7,2.4,1.8,2.0,1.6,2.6,2.6,2.8,2.0,3.1,3.3,3.7,2.1,5.0,3.6,2.3,3.9,3.6,5.7,3.2,2.7,1.8,2.1,1.8,1.1,2.6
49,2.8,3.0,3.1,2.6,3.1,3.2,3.6,3.2,1.8,2.0,1.9,2.1,1.7,2.4,1.7,2.8,2.1,2.8,3.4,3.7,2.5,4.2,3.4,1.9,3.6,4.1,4.1,4.1,2.8,1.4,1.3,1.4,1.1,1.9
50,2.9,3.1,3.7,2.5,3.3,3.3,3.5,3.3,1.7,2.3,1.9,2.1,1.7,2.9,2.8,3.1,2.3,2.4,3.2,3.3,3.0,4.3,3.5,1.5,3.9,4.0,4.2,3.9,2.3,1.7,1.7,1.7,0.9,2.5
51,2.9,3.2,3.2,3.0,3.2,3.6,3.5,3.1,2.1,2.3,2.0,1.9,2.0,2.8,2.3,3.3,1.9,2.8,2.9,3.4,1.3,4.2,3.8,2.3,4.1,4.2,4.9,4.1,3.0,1.6,1.5,1.6,1.1,2.2
52,3.0,3.3,3.6,3.0,3.3,3.4,3.7,3.1,1.6,1.8,2.0,2.3,1.5,2.9,2.4,3.4,2.1,3.3,3.5,3.7,3.1,4.1,3.7,2.3,3.9,4.7,5.1,4.6,3.3,1.6,1.5,1.6,1.1,2.2
53,2.8,3.0,3.0,2.6,3.1,3.0,3.5,3.3,2.0,1.6,1.8,2.1,1.5,2.7,2.6,2.9,2.1,2.4,2.7,2.6,2.9,3.8,3.8,2.5,4.1,4.0,3.6,4.1,2.5,1.6,1.6,1.6,1.0,2.3
54,2.9,3.2,2.7,3.0,3.3,3.5,3.7,3.3,1.8,1.8,1.8,1.9,1.6,2.8,2.4,2.8,3.0,3.4,3.3,3.6,2.6,4.3,3.8,3.2,3.9,4.3,4.6,4.3,2.6,1.6,1.5,1.6,1.0,2.3
55,3.1,3.3,3.4,3.0,3.3,3.5,3.7,3.6,2.0,2.0,2.0,2.1,1.8,2.8,2.4,3.1,2.5,3.1,3.7,4.0,2.9,4.7,3.8,2.2,4.1,4.0,4.9,3.8,3.0,1.8,1.7,1.8,1.5,2.1
56,3.0,3.2,3.3,2.7,3.3,3.5,3.7,3.6,2.0,2.1,2.0,2.2,1.7,2.8,2.3,3.2,2.2,3.5,3.5,3.8,2.6,4.3,3.8,2.3,4.0,3.8,4.5,3.7,2.6,1.7,2.0,1.7,1.1,2.3
57,3.1,3.4,3.2,3.0,3.5,3.7,3.8,3.6,3.1,2.0,2.3,2.5,1.9,2.9,2.3,3.2,2.6,3.9,3.7,3.6,4.0,4.5,3.9,2.8,4.1,3.6,3.7,3.6,3.6,1.8,1.9,1.8,1.2,2.5
58,3.0,3.3,3.0,3.1,3.4,3.4,3.7,3.4,2.1,2.4,1.9,2.2,1.4,2.9,3.0,3.0,2.4,3.3,4.0,4.6,2.3,3.9,3.7,2.7,3.9,3.8,3.7,3.8,4.2,1.6,1.6,1.7,1.0,2.3
59,3.1,3.3,2.9,3.2,3.4,3.5,3.8,3.4,2.3,2.3,2.4,2.5,2.4,2.9,2.7,3.2,2.4,3.6,3.7,4.1,2.5,4.3,3.7,2.6,3.9,3.9,3.1,4.1,2.3,1.7,1.5,1.7,1.2,2.2
60,3.1,3.3,3.1,3.0,3.3,3.6,3.9,3.5,2.0,2.1,2.2,2.4,1.9,2.6,2.3,2.9,2.1,3.4,4.7,4.9,4.0,4.2,3.7,2.4,4.0,4.4,3.6,4.5,1.9,1.9,1.8,2.0,1.4,2.6
61,3.1,3.4,3.2,3.0,3.5,3.5,4.2,4.0,1.9,2.2,2.2,2.5,1.7,2.7,2.7,2.9,1.8,3.9,5.0,4.6,6.0,4.1,3.9,2.7,4.2,4.7,6.1,4.4,1.9,1.8,1.7,1.8,1.2,2.4
62,3.1,3.4,2.9,3.0,3.6,3.6,3.6,3.6,2.4,2.1,2.4,2.7,2.1,2.7,2.8,2.9,2.0,3.9,4.1,4.7,2.5,4.2,4.0,2.5,4.3,4.4,4.1,4.4,1.5,1.7,1.6,1.7,1.2,2.2
63,3.4,3.6,3.2,3.2,4.0,3.8,4.1,4.1,2.4,2.3,2.4,2.6,2.1,3.4,3.7,3.6,2.2,3.9,4.3,4.6,3.3,4.7,3.9,3.2,4.0,4.1,3.2,4.3,3.7,1.9,1.4,1.9,1.3,2.6
64,3.4,3.7,3.2,3.2,3.9,4.2,4.3,3.9,2.2,2.3,2.5,2.6,2.4,2.9,2.9,3.0,2.8,4.6,4.5,5.1,2.6,5.0,3.9,2.5,4.1,4.9,4.3,5.0,2.6,1.9,1.7,1.9,1.3,2.6
65,3.2,3.4,2.7,2.9,3.7,3.7,4.4,3.7,2.2,2.0,2.0,2.1,2.0,3.1,2.7,3.2,2.9,4.3,3.9,4.1,3.5,4.6,3.7,2.6,3.9,4.0,3.0,4.2,3.0,1.9,1.7,1.9,1.2,2.8
66,3.3,3.5,2.8,3.1,3.6,4.1,4.3,4.5,2.8,2.2,2.4,2.4,2.3,3.1,2.5,3.4,2.7,4.1,4.3,4.1,4.9,4.9,3.8,1.7,4.2,4.0,3.3,4.1,2.9,1.8,1.6,1.9,1.3,2.5
67,3.1,3.3,2.1,2.9,3.6,3.9,4.1,3.8,1.8,2.2,2.1,2.2,1.8,2.6,2.6,2.6,2.4,4.6,2.8,2.8,2.9,5.1,3.4,2.2,3.6,4.3,3.3,4.5,3.0,2.2,1.9,2.2,1.6,2.9
68,3.3,3.6,2.8,3.2,3.8,4.2,4.2,3.8,2.5,2.4,2.3,2.2,2.5,2.9,2.6,3.1,2.5,5.1,3.4,3.5,3.2,5.1,4.0,2.4,4.4,4.2,2.9,4.4,3.7,1.9,1.4,2.0,1.4,2.7
69,3.3,3.6,2.3,3.3,3.9,4.2,4.4,3.9,2.3,2.1,2.3,2.3,2.3,3.1,3.2,3.3,2.7,4.9,3.2,3.3,3.0,4.9,4.0,2.6,4.3,4.2,5.3,4.0,3.7,2.1,1.3,2.2,1.5,3.0
70,3.2,3.5,2.4,3.2,3.7,4.2,4.3,3.9,2.5,2.1,2.4,2.4,2.4,3.0,2.8,3.1,3.0,4.7,3.5,3.9,2.4,4.5,4.1,2.2,4.4,4.3,4.5,4.2,3.1,1.8,1.3,1.9,1.1,2.8
71,3.3,3.5,2.7,3.3,3.7,3.9,4.1,3.7,2.4,1.8,2.2,2.2,2.1,2.9,2.9,3.1,2.4,5.2,3.6,3.8,3.1,4.6,4.2,2.5,4.6,4.4,4.2,4.5,3.0,1.9,1.3,2.0,1.3,2.8
72,3.3,3.5,2.7,3.2,3.6,4.0,4.2,3.8,2.4,1.8,2.3,2.4,2.2,3.2,2.9,3.4,2.7,5.2,3.2,3.3,3.1,4.3,4.0,2.3,4.3,4.2,4.1,4.2,4.1,2.0,1.2,2.1,1.2,3.0
73,3.3,3.6,3.2,3.2,3.8,4.1,4.1,3.1,2.0,3.3,2.3,2.3,2.4,3.3,3.7,3.1,3.3,4.7,2.6,2.7,2.4,5.1,3.9,2.1,4.3,3.7,4.0,3.6,3.3,2.0,1.2,2.2,1.3,3.2
74,3.3,3.6,3.6,3.1,3.6,4.0,4.0,4.0,1.7,3.3,2.4,2.5,2.3,2.9,2.3,3.1,2.8,5.7,3.3,3.5,2.7,4.6,3.8,2.3,4.0,4.0,3.7,4.0,4.4,1.9,1.3,2.0,1.4,2.8
75,3.5,3.8,3.6,3.1,3.9,4.4,4.3,4.4,2.5,2.3,2.6,2.6,2.7,3.1,3.3,3.0,3.4,5.4,4.0,4.2,3.4,5.3,4.0,2.5,4.3,4.5,4.3,4.5,3.0,1.9,1.5,2.0,1.3,2.8
76,3.3,3.5,3.4,3.0,3.7,3.9,4.3,3.5,2.1,2.3,2.4,2.4,2.5,3.2,3.5,3.0,3.1,4.9,2.7,2.4,3.6,5.0,4.0,2.4,4.3,4.0,3.8,4.1,2.8,1.9,1.4,2.0,1.2,2.8
77,3.3,3.5,3.0,3.0,3.8,4.1,4.1,3.2,2.0,2.1,2.5,2.4,2.8,2.7,2.8,2.7,2.4,5.7,3.2,3.5,2.5,4.8,4.2,2.2,4.6,4.2,3.1,4.4,2.9,1.9,1.5,2.0,1.3,2.7
78,3.4,3.7,4.2,2.9,3.8,4.0,4.3,3.7,1.5,2.2,2.5,2.5,2.5,3.0,3.1,3.2,2.3,5.3,3.4,3.4,3.3,5.1,4.2,2.8,4.5,4.5,5.4,4.3,3.2,2.0,1.3,2.1,1.2,2.9
