col1,col2,abs_corr
Accounting,Nursing,0.9526494134003882
Cleaning & Sanitation,Security & Public Safety,0.9525085863315186
Architecture,Management,0.95232934359665
Accounting,Industrial Engineering,0.9523137989750039
Personal Care & Home Health,Veterinary,0.9522585390461377
Civil Engineering,Sports,0.951591992524071
Administrative Assistance,Food Preparation & Service,0.9514424316711655
Sales,Scientific Research & Development,0.9514208744190408
Production & Manufacturing,Security & Public Safety,0.9508114753977827
Architecture,Headline,0.9508022082946452
Logistic Support,Production & Manufacturing,0.9505377489092532
Accounting,Project Management,0.9504881712467657
Arts & Entertainment,IT Systems & Solutions,0.9504063097429892
Food Preparation & Service,Legal,0.9503083148719468
Administrative Assistance,Cleaning & Sanitation,0.950243995355634
Headline,Industrial Engineering,0.9502133271220232
Media & Communications,Sales,0.9500903885047873
