,Accounting,Administrative Assistance,Architecture,Arts & Entertainment,Banking & Finance,Childcare,Civil Engineering,Cleaning & Sanitation,Community & Social Service,Construction,Customer Service,Data & Analytics,Dental,Driving,Education & Instruction,Electrical Engineering,Food Preparation & Service,Headline,Hospitality & Tourism,Human Resources,"IT Infrastructure, Operations & Support",IT Systems & Solutions,Industrial Engineering,Installation & Maintenance,Legal,Loading & Stocking,Logistic Support,Management,Marketing,Media & Communications,Medical Information,Medical Technician,Nursing,Personal Care & Home Health,Pharmacy,Physicians & Surgeons,Production & Manufacturing,Project Management,Retail,Sales,Scientific Research & Development,Security & Public Safety,Software Development,Sports,Therapy,Veterinary
Customer Service,0.8336248609525665,0.9296485020071047,0.7947061996466784,0.9334743370536434,0.912404949626961,0.7726490089280943,0.4006164531523737,0.959588550868494,0.7776401711976809,0.8389109724339066,1.0,0.8790048446237279,0.6025241689510715,0.6704362028496009,0.5842869580566703,0.7031103242561471,0.8920315117416397,0.9162271687953791,0.8378313657135213,0.9351871083651941,0.9085394288751897,0.8839661414917833,0.8852228843155278,0.830814031855628,0.840493159048985,0.9740988185874212,0.9110278674809171,0.9109761517349835,0.9400064186966819,0.9342582501420584,0.9458483173147679,0.7980300989234784,0.8149936933118928,0.7723099845864614,0.7547089769518757,0.40161260512067487,0.9648803232630309,0.8731350591046666,0.9352605055531723,0.973716747235216,0.9392495105877583,0.8780402284920166,0.858529745399554,0.4295431390276968,0.47019381905207386,0.7696257990413727
Data & Analytics,0.8267428195091959,0.8629898440964882,0.7896719664623122,0.9321423135680346,0.9769099239854925,0.5729814322425671,0.29155985719683924,0.8078564638620684,0.655881183291429,0.6102102005919544,0.8790048446237279,1.0,0.33903144587913997,0.4290828524339331,0.4794625944294943,0.649485994831606,0.7115469674201976,0.8231491239295771,0.7035301147619271,0.971525748018601,0.985466054109038,0.9960884417133026,0.9310139904529466,0.6547558837032362,0.7808054098370296,0.8727449772989374,0.8622203967136454,0.847118641488178,0.9703894403082423,0.979703378807372,0.8879132162040843,0.696830842589551,0.7297895106057728,0.5915308793804831,0.6250108299121081,0.28012266416183546,0.8576507009642718,0.8794109477360158,0.7655031830702534,0.8883941394899877,0.9614345470588076,0.7775316197911237,0.9943814063871576,0.2704669491296172,0.28089637665784195,0.5602599666409254
Dental,0.699281441688256,0.740868971011977,0.7471173097408871,0.5985754381894682,0.507814989921805,0.9375447213387377,0.8458290608115081,0.759990704893346,0.8773111850177472,0.8781981910097818,0.6025241689510715,0.33903144587913997,1.0,0.8945722146660584,0.8742576651546613,0.8431698324485041,0.8647073359669339,0.793957375630471,0.8475459578501839,0.4808678798277236,0.4586826893987774,0.3840547909559723,0.6104823524868206,0.9214962651231267,0.7956303267778425,0.5465486529877823,0.7017687157441291,0.7531899332421503,0.40088325581650824,0.4705512177986478,0.6831316027764096,0.8559954034712124,0.8295342422171442,0.8993717166976173,0.7861333186245624,0.8654468199028099,0.7256036674891688,0.691792487446853,0.7595187546458367,0.6620655648276635,0.5427077678733814,0.8174885410637512,0.2708958467223594,0.8694982314278844,0.9056269123765127,0.9477610962766501
Driving,0.7619667536035025,0.7794114181974987,0.75892729082069,0.6672798413478574,0.5707636783313496,0.8967187417910618,0.8165956725384393,0.7746907736996756,0.8644442581801345,0.8429275404298431,0.6704362028496009,0.4290828524339331,0.8945722146660584,1.0,0.8125364605165399,0.8471811074832862,0.8716051643425121,0.8283724269635673,0.8341199496906913,0.5795983367053062,0.5211638888177126,0.4767303858047775,0.6726107319327574,0.8976068725465969,0.8091025254305966,0.6253481970827128,0.7888455982784817,0.8000963629686291,0.5034442551503677,0.5545623275067467,0.7142972909708797,0.8598065806741654,0.8514531314280939,0.9074180635456689,0.850014798006788,0.8216595277652066,0.7691423033177077,0.7360155138179086,0.8278093767636393,0.6957007894487157,0.6185779034549,0.8308208526253835,0.37645729593231086,0.7858254139810863,0.8521485869298525,0.8996703120860394
Education & Instruction,0.7597304472544046,0.7955390469119605,0.8901134039803832,0.7126419757234562,0.6198355632389505,0.9147943213842037,0.9281378085473868,0.7322723719095747,0.9533824735025479,0.7994042028508751,0.5842869580566703,0.4794625944294943,0.8742576651546613,0.8125364605165399,1.0,0.9360319501509278,0.8582447493356565,0.8363657910724538,0.9057770426450655,0.5945877657305162,0.5764563195586391,0.5326997149570077,0.7343554150779551,0.8961414358831346,0.8980994587065855,0.4891374275683493,0.7895564034615633,0.8202605192091368,0.500247192669901,0.5898822657664557,0.7013314542278,0.8900096071466795,0.8546635170020019,0.9017255635987268,0.7699226052590543,0.9290025269890931,0.7234549123114349,0.8252044552055119,0.7023699335105714,0.6993333834358123,0.628488201934868,0.8715515953953098,0.41255032731157043,0.9432944795876741,0.9400262237354376,0.8645554661161773
Electrical Engineering,0.9192514792664481,0.9000984535587164,0.964071778247499,0.8361735883552981,0.7705474613824222,0.9277097206090679,0.9083025081111364,0.8029051409795465,0.9672568957695736,0.8098403599811776,0.7031103242561471,0.649485994831606,0.8431698324485041,0.8471811074832862,0.9360319501509278,1.0,0.9013522346178783,0.9235525839051676,0.9285156408375733,0.7321314475727486,0.7379491450771118,0.6923928976589454,0.8775371229617249,0.9350622698278475,0.9475468823021079,0.6320574424283266,0.886007432217855,0.9173657896870524,0.6413886635606019,0.7329214620574155,0.8365153553522916,0.9619209620277717,0.9532641058623078,0.9223889213560432,0.8935213376005328,0.8897360977156522,0.8298630522051018,0.9217799766106843,0.8196990066013411,0.7914782532801874,0.7792402368399232,0.9192611962662525,0.5846925318551492,0.8608769121701962,0.8739689195715846,0.8879306317949194
Food Preparation & Service,0.8797800475820264,0.9514424316711655,0.9073212109918526,0.8949070418890452,0.8189253125710632,0.9602214615010027,0.7409967991671845,0.9537794753680404,0.953953856936841,0.9354103609558916,0.8920315117416397,0.7115469674201976,0.8647073359669339,0.8716051643425121,0.8582447493356565,0.9013522346178783,1.0,0.9742052931797033,0.9756951190688041,0.8248643529736913,0.7920426197372186,0.745325231751206,0.8695762169438369,0.9771826484368233,0.9503083148719468,0.8295096498150618,0.93593964344507,0.959476056311523,0.7739941656294757,0.8191534827637916,0.9097043585472862,0.938004178428987,0.9250981990040925,0.9418857964302308,0.8689184718127894,0.7448010146283821,0.9401997384595596,0.9175179963797789,0.9477783468377182,0.9246387257184548,0.8439329710067245,0.9701389532371184,0.6617860783982695,0.768944627212832,0.7989709694578592,0.9404437159640259
Headline,0.9482713093712885,0.9929362009349308,0.9508022082946452,0.9544139220333593,0.9107412265476886,0.9275089322648093,0.7169707527548714,0.9537896835092581,0.9529895276192386,0.8926379844818403,0.9162271687953791,0.8231491239295771,0.793957375630471,0.8283724269635673,0.8363657910724538,0.9235525839051676,0.9742052931797033,1.0,0.9586019473122647,0.9053446613199123,0.8844007367184756,0.8515367393647844,0.9502133271220232,0.9619532647672915,0.9778450219369066,0.8669136372571343,0.9802201457906071,0.9943024600820737,0.8551076660541035,0.899854871359021,0.9655848347460868,0.9637248308570215,0.9637709371867096,0.9314269103267894,0.8918930139720218,0.7171851256113073,0.9712719251861086,0.9747941455701422,0.9483444264590754,0.9555017184062823,0.9285757157112945,0.9812231761385153,0.7790321901434455,0.712870272114851,0.7465370389652065,0.9080624991957091
Hospitality & Tourism,0.8694165792295,0.9387423817382292,0.946362585011911,0.894678596710333,0.8076049646295742,0.9536163717535918,0.7862131682898297,0.9135795724404745,0.9720428827447245,0.8974316095461915,0.8378313657135213,0.7035301147619271,0.8475459578501839,0.8341199496906913,0.9057770426450655,0.9285156408375733,0.9756951190688041,0.9586019473122647,1.0,0.8095445159986109,0.7851584650441957,0.7411439892075801,0.8748671023653268,0.9598796601904712,0.9616490933525519,0.7468847409441584,0.923310231162399,0.947476113594162,0.7542361753316037,0.8104274785275288,0.8786846366686375,0.9331854014759454,0.9199194864501652,0.9217143218052889,0.8316102537738896,0.7807378270918117,0.9017064651150072,0.9305467197917532,0.8809243691262231,0.9020088054580621,0.8300010729251476,0.96415568788288,0.6475117130037991,0.8098854284237559,0.8208176712693814,0.9029551815142002
Human Resources,0.8729513548322143,0.9316438032511861,0.8448418822595364,0.9712829493671905,0.9784251521658277,0.700017284405643,0.41298406512555014,0.8846765582761628,0.7678193767620407,0.7129673163896723,0.9351871083651941,0.971525748018601,0.4808678798277236,0.5795983367053062,0.5945877657305162,0.7321314475727486,0.8248643529736913,0.9053446613199123,0.8095445159986109,1.0,0.972412873172583,0.9817239136948044,0.9497161521842764,0.7644399475389909,0.8698520991122369,0.9098695553315107,0.9419662235213073,0.9237584334882206,0.9860712140856065,0.9923839301405082,0.9354969299823372,0.796860476947161,0.8135314998747525,0.7261012711615655,0.7239106932995634,0.417714309918374,0.923887613022741,0.933725027783874,0.8525684610622701,0.9461663741024129,0.9795811460767431,0.87095399018275,0.9610456806052063,0.41230106342457346,0.43903164163323954,0.6813179143621678
"IT Infrastructure, Operations & Support",0.8794016067197955,0.9163155639605359,0.8538479139135811,0.9593366694564046,0.986086472986147,0.6725746527652177,0.398821605095729,0.8671992825486186,0.7423107564380732,0.6968070956323342,0.9085394288751897,0.985466054109038,0.4586826893987774,0.5211638888177126,0.5764563195586391,0.7379491450771118,0.7920426197372186,0.8844007367184756,0.7851584650441957,0.972412873172583,1.0,0.9857278068076573,0.9674259132840086,0.7454161947896915,0.8377570240698698,0.8939087061800959,0.8983404366539232,0.899732888071194,0.9579270167536329,0.9856869354127774,0.9364364842480428,0.7746152428846105,0.8067908872779564,0.6768660623073887,0.7019367853404855,0.37971461499042664,0.9079015688588208,0.9219061234438156,0.829914143378508,0.9227154425389047,0.9801373292989001,0.8457386936087002,0.9672105176655031,0.3739011240411904,0.38465577654495425,0.6548189460280582
IT Systems & Solutions,0.849558125877118,0.8859064324911355,0.8231222858052271,0.9504063097429892,0.9843815711243028,0.6142751885380607,0.3512955305605606,0.8222152014318038,0.6984044811564851,0.6333401252842342,0.8839661414917833,0.9960884417133026,0.3840547909559723,0.4767303858047775,0.5326997149570077,0.6923928976589454,0.745325231751206,0.8515367393647844,0.7411439892075801,0.9817239136948044,0.9857278068076573,1.0,0.9465701177841361,0.6896182355359195,0.8201243603435507,0.8689042427164163,0.8925370635025051,0.8762761855565838,0.9727187916162914,0.9868181886910817,0.8992191540391277,0.7342537735587399,0.7602054583828436,0.6334105692068271,0.6578141700288004,0.3429474414748626,0.8712046604726232,0.9080636971619703,0.7856779623112065,0.9031480776261186,0.9674300989885608,0.8103164863362262,0.9877051702462412,0.3319250361591954,0.34311687905078025,0.5975593417040161
Industrial Engineering,0.9523137989750039,0.9653818979456282,0.9471042521190147,0.9749144747006089,0.9720583056646004,0.7943793221139533,0.6067259562101864,0.889843736384718,0.8645844228481641,0.7712840635589328,0.8852228843155278,0.9310139904529466,0.6104823524868206,0.6726107319327574,0.7343554150779551,0.8775371229617249,0.8695762169438369,0.9502133271220232,0.8748671023653268,0.9497161521842764,0.9674259132840086,0.9465701177841361,1.0,0.8523054190574504,0.9270631126500937,0.85108626461527,0.9533543950492896,0.9605249170282132,0.9067927350661601,0.9568423560733429,0.9547211472138584,0.888254236573791,0.9103443452408361,0.8047425195716102,0.8182674692480129,0.5841390499345117,0.9347622208593624,0.9803387525283425,0.8683711795318655,0.9270082145046447,0.9730956404676672,0.9197711539199585,0.8968148910253646,0.5613840151975256,0.5768385666013521,0.7693425729011623
Installation & Maintenance,0.8856817209719409,0.9341985358684634,0.9135357753258788,0.8471832280514979,0.7809709382914084,0.9806603894423551,0.8066226879922271,0.9267723279760222,0.971258293734962,0.9483924962874356,0.830814031855628,0.6547558837032362,0.9214962651231267,0.8976068725465969,0.8961414358831346,0.9350622698278475,0.9771826484368233,0.9619532647672915,0.9598796601904712,0.7644399475389909,0.7454161947896915,0.6896182355359195,0.8523054190574504,1.0,0.9475831007740685,0.7778801607935538,0.9074822702453565,0.937898112701206,0.7003554701225508,0.7575967665480318,0.8922251837587052,0.9641560311836659,0.9557625058275053,0.9685978823442188,0.8837651913698673,0.8123634554405031,0.9214639380889479,0.9003354110319617,0.9135444531807503,0.8783807390782697,0.810333860743926,0.962756594979677,0.5969331592517882,0.8164958482795842,0.851121830349743,0.9725338331499134
Legal,0.9267115461683016,0.963740472877446,0.9692663187479745,0.9325034806387759,0.8795551106144855,0.9266856342040227,0.7847814194194681,0.8935841088103478,0.9694634489710081,0.8516237381098926,0.840493159048985,0.7808054098370296,0.7956303267778425,0.8091025254305966,0.8980994587065855,0.9475468823021079,0.9503083148719468,0.9778450219369066,0.9616490933525519,0.8698520991122369,0.8377570240698698,0.8201243603435507,0.9270631126500937,0.9475831007740685,1.0,0.7703305114073046,0.9666067279300304,0.9789001672356409,0.8078970151894264,0.8617346375283695,0.910330896843303,0.9620586368545294,0.9449062367942389,0.9276606289736705,0.8650912890300946,0.7951444131754698,0.9153614997751011,0.978863838217379,0.881844318952944,0.916559985007412,0.8791656373588522,0.9671682374634434,0.7331571346267141,0.7977441981831266,0.8132164387951301,0.8929810905858586
Loading & Stocking,0.8000711316789471,0.8821730313700592,0.7142149359329236,0.8789824922355762,0.8956531715687316,0.7001898365033392,0.3034932728587871,0.9326339204995671,0.6967954530920962,0.807995131496427,0.9740988185874212,0.8727449772989374,0.5465486529877823,0.6253481970827128,0.4891374275683493,0.6320574424283266,0.8295096498150618,0.8669136372571343,0.7468847409441584,0.9098695553315107,0.8939087061800959,0.8689042427164163,0.85108626461527,0.7778801607935538,0.7703305114073046,1.0,0.86282203174862,0.8581826731180051,0.9134722727430641,0.9046506591859318,0.9242933992056055,0.7432245421466926,0.770698847079689,0.716211182611503,0.7067536991026343,0.3135531891802648,0.9434946507295343,0.8159492834695877,0.9130744732148025,0.9233052772849717,0.9168076406435243,0.8296097823429395,0.8638969731502959,0.3213239093653675,0.37491292272614674,0.7345372155152997
Logistic Support,0.9367957854314134,0.9798493031504242,0.9347815658064854,0.9663988762303092,0.9277826580944214,0.8707433400450584,0.6668900661013337,0.9221692365905251,0.9149248719111841,0.8277437894882016,0.9110278674809171,0.8622203967136454,0.7017687157441291,0.7888455982784817,0.7895564034615633,0.886007432217855,0.93593964344507,0.9802201457906071,0.923310231162399,0.9419662235213073,0.8983404366539232,0.8925370635025051,0.9533543950492896,0.9074822702453565,0.9666067279300304,0.86282203174862,1.0,0.9860095594368494,0.8957501983427035,0.9274980639371594,0.9460167711817639,0.9289294984108872,0.9272600419458654,0.8929250903997755,0.8579646370202029,0.6704422690241232,0.9505377489092532,0.9781790998466509,0.9192280597361607,0.9484065604668104,0.9398303138996957,0.9586689808739849,0.8294339751029725,0.6590474564744132,0.6933376667394121,0.8474500721134604
Management,0.9547862985375484,0.9896599598120809,0.95232934359665,0.9671624164656598,0.9281994074274321,0.9029784719993271,0.7041707700094934,0.9326130359815824,0.9375439626801982,0.8531762875492611,0.9109761517349835,0.847118641488178,0.7531899332421503,0.8000963629686291,0.8202605192091368,0.9173657896870524,0.959476056311523,0.9943024600820737,0.947476113594162,0.9237584334882206,0.899732888071194,0.8762761855565838,0.9605249170282132,0.937898112701206,0.9789001672356409,0.8581826731180051,0.9860095594368494,1.0,0.8727429033251699,0.9173732650607875,0.9596923811379462,0.9529094917050351,0.9499922133286262,0.906833589000514,0.8809828221350655,0.7047161080637212,0.9579691776530455,0.9839995010088394,0.9365099197774385,0.9550587688059957,0.9353969885480474,0.9690114489342879,0.8066206230333685,0.6978134068112134,0.7263267059826671,0.877819152460879
Marketing,0.8128921747305727,0.8897246406920681,0.7828537530847482,0.9488937544446187,0.9598752884226666,0.6303328416861981,0.2985631752456676,0.8603531528281703,0.6946038244923449,0.6752215885577557,0.9400064186966819,0.9703894403082423,0.40088325581650824,0.5034442551503677,0.500247192669901,0.6413886635606019,0.7739941656294757,0.8551076660541035,0.7542361753316037,0.9860712140856065,0.9579270167536329,0.9727187916162914,0.9067927350661601,0.7003554701225508,0.8078970151894264,0.9134722727430641,0.8957501983427035,0.8727429033251699,1.0,0.9852466671518169,0.9059385670499216,0.7214939154872909,0.7434079819576767,0.6510016945516081,0.6582829822903242,0.2997185857101963,0.8979042181117892,0.8800884521547917,0.8152399963131942,0.938882804152688,0.964722596793777,0.8093404054702442,0.9657713091631179,0.3086858135463153,0.3357762487567314,0.6099556489257206
Media & Communications,0.8735022871530695,0.9287482455689955,0.8550594190191164,0.9778615607776545,0.9849794260531783,0.6946315923833235,0.40526982622980356,0.8809366947429474,0.7603494332974426,0.7096728691440143,0.9342582501420584,0.979703378807372,0.4705512177986478,0.5545623275067467,0.5898822657664557,0.7329214620574155,0.8191534827637916,0.899854871359021,0.8104274785275288,0.9923839301405082,0.9856869354127774,0.9868181886910817,0.9568423560733429,0.7575967665480318,0.8617346375283695,0.9046506591859318,0.9274980639371594,0.9173732650607875,0.9852466671518169,1.0,0.935933202402701,0.7838097204421623,0.8045528185059937,0.7017780504232431,0.7134453879606539,0.39590808839657354,0.9187840955053574,0.9315438214759693,0.8474281047038931,0.9500903885047873,0.9824527859354167,0.8602248663229577,0.9645607205868791,0.3995552859437129,0.416807390578631,0.6677526495122734
Medical Information,0.93983298774809,0.9818459549822693,0.8909289216127237,0.9527387183519949,0.9445882879642065,0.8411813151928237,0.5651713540832531,0.9438901043571267,0.8682760724813116,0.829964647403262,0.9458483173147679,0.8879132162040843,0.6831316027764096,0.7142972909708797,0.7013314542278,0.8365153553522916,0.9097043585472862,0.9655848347460868,0.8786846366686375,0.9354969299823372,0.9364364842480428,0.8992191540391277,0.9547211472138584,0.8922251837587052,0.910330896843303,0.9242933992056055,0.9460167711817639,0.9596923811379462,0.9059385670499216,0.935933202402701,1.0,0.9133289987495398,0.9318812148420703,0.8555454284671374,0.8560261473833626,0.5612176949601508,0.97612519420608,0.9408649255408821,0.9358581538918861,0.9558877449079951,0.969245415489675,0.9289651920116611,0.85294386843749,0.5457389266134718,0.5908781149606389,0.832510652869063
Medical Technician,0.9432870777372433,0.9492346285568951,0.9366375905341664,0.8689334984810104,0.8162852789681385,0.949770425840888,0.8364947067208687,0.869249408949974,0.97202970441251,0.8444694921247705,0.7980300989234784,0.696830842589551,0.8559954034712124,0.8598065806741654,0.8900096071466795,0.9619209620277717,0.938004178428987,0.9637248308570215,0.9331854014759454,0.796860476947161,0.7746152428846105,0.7342537735587399,0.888254236573791,0.9641560311836659,0.9620586368545294,0.7432245421466926,0.9289294984108872,0.9529094917050351,0.7214939154872909,0.7838097204421623,0.9133289987495398,1.0,0.9899475149410516,0.9685793969397443,0.9278299281689747,0.8414523666788685,0.8985892362868512,0.9317019991727489,0.8922618878189668,0.8584743621860691,0.8402981161866878,0.9488068742746477,0.6412358801911663,0.8082893616897213,0.852775572166392,0.9262965878035637
