Date,Hires: Retail Trade
2020-10-01,780.0
2020-11-01,758.0
2020-12-01,776.0
2021-01-01,758.0
2021-02-01,719.0
2021-03-01,791.0
2021-04-01,798.0
2021-05-01,795.0
2021-06-01,1003.0
2021-07-01,876.0
2021-08-01,907.0
2021-09-01,895.0
2021-10-01,857.0
2021-11-01,899.0
2021-12-01,851.0
2022-01-01,834.0
2022-02-01,946.0
2022-03-01,819.0
2022-04-01,778.0
2022-05-01,676.0
2022-06-01,770.0
2022-07-01,760.0
2022-08-01,828.0
2022-09-01,749.0
2022-10-01,733.0
2022-11-01,724.0
2022-12-01,765.0
2023-01-01,809.0
2023-02-01,724.0
2023-03-01,691.0
2023-04-01,708.0
2023-05-01,798.0
2023-06-01,684.0
2023-07-01,703.0
2023-08-01,677.0
2023-09-01,744.0
2023-10-01,659.0
2023-11-01,642.0
2023-12-01,630.0
2024-01-01,566.0
2024-02-01,654.0
2024-03-01,640.0
2024-04-01,657.0
2024-05-01,632.0
2024-06-01,651.0
2024-07-01,646.0
2024-08-01,552.0
2024-09-01,602.0
2024-10-01,624.0
2024-11-01,595.0
2024-12-01,608.0
2025-01-01,637.0
2025-02-01,601.0
2025-03-01,632.0
2025-04-01,575.0
2025-05-01,575.0
2025-06-01,587.0
2025-07-01,596.0
